EmployeeID,Age,Department,DistanceFromHome,JobRole,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Attrition,PerformanceRating
E037,28,Research & Development,5,Laboratory Technician,3900,No,4,4,3,1,6,2,No,3
E038,34,Sales,20,Sales Executive,5300,Yes,9,2,2,2,13,1,Yes,3
E039,50,Research & Development,11,Research Scientist,8500,No,22,4,3,5,28,3,No,4
E040,25,Sales,4,Sales Representative,3200,Yes,2,1,1,1,3,2,Yes,2
E041,38,Research & Development,9,Laboratory Technician,5600,No,12,3,3,2,16,2,No,3
E042,46,Human Resources,2,Manager,8900,No,18,4,4,3,24,4,No,4
E043,32,Sales,15,Sales Executive,5050,Yes,7,2,2,1,10,2,Yes,3
E044,29,Research & Development,3,Research Scientist,4100,No,5,3,3,2,7,3,No,3
E045,42,Sales,8,Sales Executive,6400,No,14,4,3,1,21,3,No,4
E046,35,Research & Development,12,Laboratory Technician,5200,Yes,8,2,2,4,13,2,No,3
E047,53,Sales,6,Manager,9800,No,25,4,3,3,32,5,No,4
E048,27,Human Resources,4,Human Resources,3600,Yes,3,1,1,2,5,1,Yes,2
E049,30,Sales,10,Sales Representative,4200,No,6,3,3,1,8,2,No,3
E050,44,Research & Development,7,Research Scientist,7200,No,19,4,4,2,22,3,No,4
E051,33,Sales,5,Sales Executive,5150,Yes,9,2,2,3,11,2,Yes,3
E052,26,Research & Development,1,Laboratory Technician,3700,No,4,3,3,1,4,2,No,3
E053,49,Human Resources,13,Manager,8500,No,21,4,3,5,27,4,No,4
E054,37,Sales,11,Sales Executive,5800,Yes,11,3,2,2,14,3,Yes,3
E055,40,Research & Development,19,Research Scientist,6300,No,16,4,3,1,20,3,No,4
E056,24,Sales,2,Sales Representative,3300,Yes,3,2,1,1,3,1,Yes,2
E057,47,Sales,8,Sales Executive,7800,No,20,3,4,4,26,3,No,4
E058,31,Research & Development,4,Laboratory Technician,4400,No,7,3,3,2,10,2,No,3
E059,51,Human Resources,16,Manager,9200,No,24,4,3,3,29,4,No,4
E060,28,Sales,12,Sales Executive,4100,Yes,5,2,2,2,6,1,Yes,3
E061,35,Research & Development,3,Research Scientist,5400,No,10,4,3,1,13,2,No,4
E062,43,Sales,17,Sales Executive,6700,No,15,3,3,2,22,3,No,4
E063,26,Human Resources,5,Human Resources,3800,Yes,4,1,1,3,5,2,Yes,2
E064,39,Sales,6,Sales Representative,4900,No,9,4,3,0,12,2,No,3
E065,32,Research & Development,1,Laboratory Technician,4600,Yes,6,2,2,2,9,3,Yes,3
E066,54,Sales,9,Manager,10500,No,28,4,4,4,33,4,No,4
E067,23,Research & Development,14,Research Scientist,3200,Yes,1,2,1,1,2,1,Yes,3
E068,41,Sales,2,Sales Executive,6100,No,13,3,3,2,19,3,No,4
E069,36,Human Resources,10,Human Resources,5000,No,8,4,3,3,14,2,No,3
E070,30,Research & Development,5,Laboratory Technician,4300,Yes,6,2,2,2,8,2,No,3
E071,48,Sales,15,Sales Executive,7600,No,22,4,3,3,27,4,No,4
E072,25,Sales,3,Sales Representative,3400,Yes,3,1,1,1,4,1,Yes,2
E073,44,Research & Development,12,Research Scientist,7300,No,17,3,3,1,22,3,No,4
E074,33,Human Resources,7,Human Resources,4600,Yes,7,2,2,3,11,2,Yes,3
E075,52,Sales,4,Manager,9900,No,26,4,4,5,31,5,No,4
E076,29,Research & Development,2,Laboratory Technician,4000,No,5,3,3,2,7,2,No,3
E077,37,Sales,18,Sales Executive,5900,Yes,10,2,1,2,15,3,Yes,3
E078,40,Research & Development,6,Research Scientist,6400,No,14,4,3,1,18,3,No,4
E079,27,Sales,1,Sales Representative,3600,Yes,4,1,2,1,5,2,Yes,2
E080,45,Human Resources,9,Manager,8700,No,19,4,4,4,24,4,No,4
E081,31,Research & Development,13,Laboratory Technician,4500,Yes,6,2,2,3,9,2,No,3
E082,49,Sales,5,Sales Executive,8100,No,23,3,3,2,28,4,No,4
E083,24,Research & Development,8,Research Scientist,3300,Yes,2,1,1,1,2,1,Yes,2
E084,38,Human Resources,12,Human Resources,5300,No,11,4,3,2,16,3,No,3
E085,34,Sales,3,Sales Executive,5200,Yes,8,2,2,1,11,2,Yes,3
E086,42,Research & Development,20,Research Scientist,6900,No,16,4,3,3,21,3,No,4
E087,26,Sales,11,Sales Representative,3700,No,4,3,3,1,5,2,No,3
E088,55,Sales,2,Manager,11500,No,32,4,4,2,36,5,No,4
E089,30,Research & Development,7,Laboratory Technician,4100,Yes,6,2,1,2,8,2,Yes,3
E090,46,Human Resources,15,Manager,9000,No,20,4,3,5,26,4,No,4
E091,33,Sales,9,Sales Executive,5400,Yes,9,2,2,1,12,3,Yes,3
E092,28,Research & Development,4,Research Scientist,3900,No,5,3,3,2,6,2,No,3
E093,44,Sales,1,Sales Executive,6800,No,18,4,3,1,23,3,No,4
E094,39,Research & Development,16,Laboratory Technician,5700,Yes,13,2,2,3,17,3,No,3
E095,51,Sales,12,Manager,9600,No,24,4,4,3,30,4,No,4
E096,25,Human Resources,6,Human Resources,3500,Yes,3,1,1,2,4,1,Yes,2
E097,36,Sales,8,Sales Representative,4800,No,10,3,3,1,14,2,No,3
E098,40,Research & Development,22,Research Scientist,6600,No,15,4,3,1,20,3,No,4
E099,32,Sales,5,Sales Executive,5000,Yes,7,2,2,2,10,2,Yes,3
E100,47,Research & Development,3,Laboratory Technician,6500,No,21,4,4,4,26,4,No,4
E101,29,Sales,10,Sales Executive,4700,Yes,6,2,2,1,7,2,Yes,3
E102,54,Research & Development,5,Manager,10800,No,29,4,3,2,34,5,No,4
E103,31,Human Resources,14,Human Resources,4200,Yes,5,1,1,3,9,2,Yes,2
E104,43,Sales,1,Sales Representative,6000,No,16,4,3,1,21,3,No,4
E105,35,Research & Development,8,Laboratory Technician,5100,Yes,9,2,2,2,13,2,No,3
E106,24,Sales,4,Sales Executive,3400,No,2,3,3,1,3,1,No,3
E107,48,Research & Development,11,Research Scientist,7700,No,23,4,3,3,27,4,No,4
E108,37,Human Resources,2,Human Resources,5200,Yes,11,2,2,2,15,3,Yes,3
E109,33,Sales,13,Sales Executive,5500,No,10,3,3,1,12,2,No,3
E110,50,Research & Development,18,Research Scientist,8200,No,21,4,4,4,29,3,No,4
E111,26,Sales,6,Sales Representative,3800,Yes,4,2,1,1,5,2,Yes,2
E112,45,Sales,3,Sales Executive,7200,No,19,4,3,2,24,4,No,4
E113,32,Research & Development,9,Laboratory Technician,4900,Yes,7,2,2,3,11,2,No,3
E114,28,Human Resources,5,Human Resources,3900,No,5,3,3,2,6,2,No,3
E115,53,Research & Development,1,Manager,10200,No,26,4,4,5,32,5,No,4
E116,39,Sales,20,Sales Executive,6100,Yes,12,2,2,1,18,3,Yes,3
E117,34,Research & Development,14,Research Scientist,5600,No,11,3,3,2,15,3,No,3
E118,22,Sales,8,Sales Representative,3000,Yes,1,1,1,1,1,1,Yes,2
E119,41,Human Resources,12,Manager,7900,No,17,4,3,3,23,4,No,4
E120,36,Research & Development,4,Laboratory Technician,5300,Yes,10,2,2,2,14,2,No,3
E121,49,Sales,10,Sales Executive,8300,No,22,3,3,4,27,3,No,4
E122,27,Sales,1,Sales Representative,3500,Yes,4,2,2,1,4,2,Yes,2
E123,44,Research & Development,6,Research Scientist,7100,No,18,4,4,1,22,3,No,4
E124,31,Human Resources,15,Human Resources,4400,Yes,6,1,1,3,10,2,Yes,2
E125,55,Sales,3,Manager,11800,No,31,4,4,2,35,5,No,4
E126,29,Research & Development,12,Laboratory Technician,4200,No,5,3,3,2,7,2,No,3
E127,38,Sales,5,Sales Executive,5900,Yes,11,2,2,1,16,3,Yes,3
E128,42,Research & Development,2,Research Scientist,6700,No,16,4,3,1,20,3,No,4
E129,25,Sales,9,Sales Representative,3300,Yes,3,1,1,1,3,1,Yes,2
E130,46,Human Resources,13,Manager,8800,No,21,4,4,4,25,4,No,4
E131,33,Research & Development,7,Laboratory Technician,4800,Yes,8,2,2,3,12,2,No,3
E132,50,Sales,11,Sales Executive,8000,No,22,3,3,2,28,4,No,4
E133,28,Research & Development,4,Research Scientist,4000,Yes,5,2,1,1,6,1,Yes,2
E134,37,Human Resources,18,Human Resources,5400,No,12,4,3,2,15,3,No,3
E135,34,Sales,6,Sales Executive,5300,Yes,9,2,2,1,11,2,Yes,3
E136,43,Research & Development,1,Research Scientist,7200,No,17,4,3,3,21,3,No,4
E137,24,Sales,14,Sales Representative,3200,Yes,2,1,1,1,2,2,Yes,2
E138,52,Sales,5,Manager,10100,No,27,4,4,4,32,4,No,4
E139,30,Research & Development,8,Laboratory Technician,4300,No,7,3,3,2,9,2,No,3
E140,47,Human Resources,10,Manager,8600,No,21,4,3,5,28,4,No,4
E141,35,Sales,3,Sales Executive,5500,Yes,10,2,2,1,14,3,Yes,3
E142,27,Research & Development,15,Research Scientist,3800,No,4,3,3,1,5,2,No,3
E143,45,Sales,7,Sales Executive,7300,No,19,4,3,2,23,4,No,4
E144,32,Research & Development,2,Laboratory Technician,5000,Yes,8,2,2,3,11,2,No,3
E145,54,Human Resources,4,Manager,9800,No,28,4,4,3,33,5,No,4
E146,39,Sales,11,Sales Executive,6200,Yes,13,2,1,1,19,3,Yes,3
E147,26,Research & Development,6,Research Scientist,3900,No,4,3,3,2,4,2,No,3
E148,44,Sales,2,Sales Executive,6900,No,17,4,3,1,22,3,No,4
E149,31,Human Resources,16,Human Resources,4500,Yes,7,1,1,3,11,2,Yes,2
E150,51,Research & Development,9,Research Scientist,8500,No,23,4,3,5,29,4,No,4
E151,33,Sales,1,Sales Representative,4700,No,8,3,3,1,10,2,No,3
E152,28,Research & Development,13,Laboratory Technician,4100,Yes,5,2,2,2,7,2,No,3
E153,49,Sales,5,Manager,9200,No,22,4,4,3,28,4,No,4
E154,37,Human Resources,3,Human Resources,5300,Yes,10,2,2,2,15,3,Yes,3
E155,34,Research & Development,10,Research Scientist,5800,No,11,3,3,1,14,3,No,3
E156,42,Sales,8,Sales Executive,6600,No,15,4,3,2,21,3,No,4
E157,25,Sales,14,Sales Representative,3400,Yes,3,1,1,1,3,1,Yes,2
E158,53,Research & Development,2,Manager,10500,No,27,4,4,4,34,5,No,4
E159,30,Human Resources,7,Human Resources,4100,No,6,3,3,2,8,2,No,3
E160,46,Sales,6,Sales Executive,7800,No,20,4,3,3,26,4,No,4
E161,35,Research & Development,12,Laboratory Technician,5400,Yes,10,2,2,2,13,2,No,3
E162,27,Sales,4,Sales Representative,3700,No,4,3,3,1,5,2,No,3
E163,44,Human Resources,1,Manager,8900,No,18,4,4,4,24,4,No,4
E164,32,Sales,18,Sales Executive,5200,Yes,8,2,1,1,11,2,Yes,3
E165,55,Research & Development,5,Research Scientist,8900,No,30,4,3,2,35,3,No,4
E166,29,Sales,3,Sales Representative,4200,No,6,3,3,1,7,2,No,3
E167,41,Research & Development,10,Laboratory Technician,6400,Yes,15,2,2,3,20,3,No,3
E168,36,Human Resources,2,Human Resources,5000,No,9,4,3,2,14,3,No,3
E169,48,Sales,13,Sales Executive,7900,No,22,4,3,2,27,4,No,4
E170,26,Research & Development,1,Research Scientist,4000,Yes,4,2,2,1,4,1,Yes,2
E171,43,Sales,7,Sales Executive,6800,No,16,4,4,1,21,3,No,4
E172,31,Human Resources,11,Human Resources,4600,Yes,6,1,1,3,10,2,Yes,2
E173,50,Research & Development,4,Manager,9500,No,23,4,3,4,29,5,No,4
E174,33,Sales,15,Sales Representative,4900,No,9,3,3,1,12,2,No,3
E175,28,Research & Development,8,Laboratory Technician,4300,Yes,6,2,2,2,7,2,No,3
E176,52,Sales,3,Manager,10800,No,26,4,4,2,33,4,No,4
E177,37,Human Resources,5,Human Resources,5500,No,11,3,3,3,16,3,No,3
E178,34,Sales,12,Sales Executive,5700,Yes,10,2,2,1,13,2,Yes,3
E179,45,Research & Development,1,Research Scientist,7400,No,19,4,3,1,23,3,No,4
E180,24,Sales,10,Sales Representative,3300,Yes,2,1,1,1,2,1,Yes,2
E181,49,Human Resources,14,Manager,9100,No,21,4,4,5,28,4,No,4
E182,31,Sales,2,Sales Executive,5000,No,7,3,3,2,9,2,No,3
E183,40,Research & Development,11,Laboratory Technician,6100,Yes,14,2,2,3,19,3,No,3
E184,36,Sales,6,Sales Representative,4900,No,9,4,3,1,12,2,No,3
E185,47,Research & Development,4,Research Scientist,8000,No,21,4,3,2,26,4,No,4
E186,25,Human Resources,9,Human Resources,3800,Yes,3,1,1,2,4,1,Yes,2
E187,42,Sales,1,Sales Executive,6500,No,15,4,4,1,20,3,No,4
E188,32,Research & Development,13,Laboratory Technician,5200,Yes,8,2,2,2,11,2,No,3
E189,53,Sales,5,Manager,10300,No,26,4,3,4,32,4,No,4
E190,30,Human Resources,2,Human Resources,4300,No,6,3,3,1,8,2,No,3
E191,46,Research & Development,8,Research Scientist,7900,No,20,4,4,1,25,3,No,4
E192,35,Sales,16,Sales Executive,5600,Yes,11,2,2,2,14,3,Yes,3
E193,27,Research & Development,3,Laboratory Technician,3900,No,5,3,3,1,6,2,No,3
E194,51,Sales,7,Manager,9700,No,24,4,3,3,30,4,No,4
E195,33,Human Resources,10,Human Resources,4800,Yes,7,2,2,3,12,2,Yes,3
E196,38,Research & Development,1,Research Scientist,6200,No,13,4,3,2,18,3,No,4
E197,29,Sales,5,Sales Representative,4000,No,5,3,3,1,6,2,No,3
E198,54,Sales,20,Manager,11200,No,28,4,4,5,35,5,No,4
E199,31,Research & Development,4,Laboratory Technician,4700,Yes,7,2,2,2,10,2,No,3
E200,43,Human Resources,12,Manager,8500,No,17,4,4,4,23,4,No,4
E201,35,Sales,2,Sales Executive,5100,No,8,3,3,1,10,2,No,3
E202,40,Research & Development,15,Research Scientist,6200,No,12,4,3,2,18,3,No,4
E203,26,Sales,7,Sales Representative,3400,Yes,3,1,2,1,4,2,Yes,3
E204,45,Human Resources,4,Manager,8800,No,18,4,4,3,25,4,No,4
E205,32,Research & Development,9,Laboratory Technician,4900,Yes,7,2,2,4,11,2,No,3
E206,29,Sales,1,Sales Executive,4600,No,6,3,3,1,7,3,No,3
E207,38,Research & Development,20,Research Scientist,6000,Yes,10,2,2,2,15,2,Yes,3
E208,50,Sales,12,Sales Executive,7800,No,22,4,3,4,28,4,No,4
E209,24,Research & Development,5,Laboratory Technician,3200,Yes,2,1,1,1,2,2,Yes,2
E210,36,Human Resources,8,Human Resources,5000,No,10,4,3,2,14,3,No,3
E211,41,Sales,14,Sales Executive,6300,No,14,3,3,1,19,3,No,4
E212,27,Research & Development,3,Laboratory Technician,3800,Yes,4,2,2,2,6,2,No,3
E213,54,Sales,2,Manager,10800,No,28,4,4,3,34,5,No,4
E214,33,Sales,6,Sales Representative,4500,No,9,3,3,1,11,2,No,3
E215,30,Research & Development,10,Research Scientist,5300,Yes,7,2,2,1,9,2,Yes,3
E216,47,Human Resources,18,Manager,9200,No,21,4,3,5,29,4,No,4
E217,25,Sales,4,Sales Representative,3300,Yes,2,1,1,1,3,1,Yes,2
E218,43,Research & Development,7,Research Scientist,7100,No,16,4,4,2,22,3,No,4
E219,34,Sales,11,Sales Executive,5500,Yes,9,2,2,1,12,2,Yes,3
E220,52,Research & Development,1,Manager,10100,No,26,4,4,4,32,5,No,4
E221,28,Human Resources,5,Human Resources,3900,No,4,3,3,2,6,2,No,3
E222,39,Sales,13,Sales Executive,6100,Yes,12,2,2,1,18,3,Yes,3
E223,31,Research & Development,6,Laboratory Technician,4600,No,7,3,3,3,10,2,No,3
E224,55,Sales,9,Manager,11500,No,32,4,4,2,36,5,No,4
E225,23,Research & Development,12,Research Scientist,3100,Yes,1,1,1,1,1,1,Yes,2
E226,42,Sales,8,Sales Representative,5800,No,15,4,3,1,20,3,No,4
E227,37,Human Resources,3,Human Resources,5200,Yes,10,2,2,2,14,3,Yes,3
E228,49,Research & Development,10,Research Scientist,8200,No,22,4,4,3,27,3,No,4
E229,26,Sales,1,Sales Executive,3800,No,4,3,3,1,5,2,No,3
E230,44,Sales,15,Sales Executive,7000,No,18,4,3,2,23,4,No,4
E231,33,Research & Development,4,Laboratory Technician,4900,Yes,8,2,2,3,12,2,No,3
E232,51,Human Resources,6,Manager,9400,No,24,4,3,5,30,4,No,4
E233,30,Sales,11,Sales Representative,4200,Yes,5,2,1,1,7,2,Yes,3
E234,46,Research & Development,2,Research Scientist,7800,No,20,4,4,1,25,3,No,4
E235,35,Sales,9,Sales Executive,5400,No,10,3,3,2,13,2,No,3
E236,28,Research & Development,13,Laboratory Technician,4000,Yes,5,2,2,2,6,2,No,3
E237,53,Sales,4,Manager,10200,No,27,4,4,4,33,5,No,4
E238,34,Human Resources,7,Human Resources,4700,Yes,9,2,2,3,11,2,Yes,3
E239,41,Research & Development,18,Research Scientist,6800,No,16,4,3,1,21,3,No,4
E240,25,Sales,3,Sales Representative,3400,Yes,3,1,1,1,4,1,Yes,2
E241,48,Sales,5,Sales Executive,7900,No,22,3,3,2,28,4,No,4
E242,32,Research & Development,8,Laboratory Technician,4800,Yes,7,2,2,1,10,2,No,3
E243,50,Human Resources,16,Manager,9300,No,23,4,3,5,29,4,No,4
E244,27,Sales,1,Sales Executive,3700,Yes,4,2,2,1,5,2,Yes,3
E245,39,Research & Development,12,Research Scientist,6400,No,14,4,3,1,19,3,No,4
E246,31,Sales,9,Sales Representative,4400,No,6,3,3,2,8,2,No,3
E247,44,Sales,2,Sales Executive,7200,No,19,4,3,3,24,4,No,4
E248,29,Research & Development,6,Laboratory Technician,4100,Yes,5,2,2,2,7,2,No,3
E249,52,Human Resources,10,Manager,10000,No,26,4,4,4,31,5,No,4
E250,33,Sales,4,Sales Representative,4600,Yes,8,2,1,1,10,2,Yes,3
E251,45,Research & Development,1,Research Scientist,7500,No,20,4,3,1,24,3,No,4
E252,36,Sales,11,Sales Executive,5800,Yes,11,3,2,2,15,3,Yes,3
E253,30,Research & Development,15,Laboratory Technician,4300,No,6,3,3,2,9,2,No,3
E254,47,Sales,6,Sales Executive,8000,No,21,4,4,4,27,4,No,4
E255,24,Human Resources,4,Human Resources,3500,Yes,3,1,1,2,4,1,Yes,2
E256,41,Sales,3,Sales Executive,6500,No,15,3,3,1,20,3,No,4
E257,28,Research & Development,12,Laboratory Technician,4000,Yes,5,2,2,3,7,2,No,3
E258,55,Sales,8,Manager,11800,No,31,4,4,2,37,5,No,4
E259,34,Research & Development,2,Research Scientist,5600,No,10,3,3,2,14,3,No,3
E260,50,Human Resources,15,Manager,9400,No,22,4,3,5,28,4,No,4
E261,32,Sales,10,Sales Executive,5300,Yes,8,2,2,1,12,3,Yes,3
E262,27,Research & Development,4,Research Scientist,3900,No,5,3,3,2,6,2,No,3
E263,43,Sales,1,Sales Executive,6900,No,17,4,3,1,22,3,No,4
E264,39,Research & Development,16,Laboratory Technician,5700,Yes,13,2,2,3,17,3,No,3
E265,51,Sales,12,Manager,9600,No,24,4,4,3,30,4,No,4
E266,25,Human Resources,6,Human Resources,3600,Yes,3,1,1,2,5,1,Yes,2
E267,36,Sales,8,Sales Representative,4800,No,10,4,3,1,14,2,No,3
E268,40,Research & Development,22,Research Scientist,6600,No,15,4,3,1,20,3,No,4
E269,32,Sales,5,Sales Executive,5000,Yes,7,2,2,2,10,2,Yes,3
E270,47,Research & Development,3,Laboratory Technician,6500,No,21,4,4,4,26,4,No,4
E271,29,Sales,10,Sales Executive,4700,Yes,6,2,2,1,7,2,Yes,3
E272,54,Research & Development,5,Manager,10800,No,29,4,3,2,34,5,No,4
E273,31,Human Resources,14,Human Resources,4200,Yes,5,1,1,3,9,2,Yes,2
E274,43,Sales,1,Sales Representative,6000,No,16,4,3,1,21,3,No,4
E275,35,Research & Development,8,Laboratory Technician,5100,Yes,9,2,2,2,13,2,No,3
E276,24,Sales,4,Sales Executive,3400,No,2,3,3,1,3,1,No,3
E277,48,Research & Development,11,Research Scientist,7700,No,23,4,3,3,27,4,No,4
E278,37,Human Resources,2,Human Resources,5200,Yes,11,2,2,2,15,3,Yes,3
E279,33,Sales,13,Sales Executive,5500,No,10,3,3,1,12,2,No,3
E280,50,Research & Development,18,Research Scientist,8200,No,21,4,4,4,29,3,No,4
E281,26,Sales,6,Sales Representative,3800,Yes,4,2,1,1,5,2,Yes,2
E282,45,Sales,3,Sales Executive,7200,No,19,4,3,2,24,4,No,4
E283,32,Research & Development,9,Laboratory Technician,4900,Yes,7,2,2,3,11,2,No,3
E284,28,Human Resources,5,Human Resources,3900,No,5,3,3,2,6,2,No,3
E285,53,Research & Development,1,Manager,10200,No,26,4,4,5,32,5,No,4
E286,39,Sales,20,Sales Executive,6100,Yes,12,2,2,1,18,3,Yes,3
E287,34,Research & Development,14,Research Scientist,5600,No,11,3,3,2,15,3,No,3
E288,22,Sales,8,Sales Representative,3000,Yes,1,1,1,1,1,1,Yes,2
E289,41,Human Resources,12,Manager,7900,No,17,4,3,3,23,4,No,4
E290,36,Research & Development,4,Laboratory Technician,5300,Yes,10,2,2,2,14,2,No,3
E291,49,Sales,10,Sales Executive,8300,No,22,3,3,4,27,3,No,4
E292,27,Sales,1,Sales Representative,3500,Yes,4,2,2,1,4,2,Yes,2
E293,44,Research & Development,6,Research Scientist,7100,No,18,4,4,1,22,3,No,4
E294,31,Human Resources,15,Human Resources,4400,Yes,6,1,1,3,10,2,Yes,2
E295,55,Sales,3,Manager,11800,No,31,4,4,2,35,5,No,4
E296,29,Research & Development,12,Laboratory Technician,4200,No,5,3,3,2,7,2,No,3
E297,38,Sales,5,Sales Executive,5900,Yes,11,2,2,1,16,3,Yes,3
E298,42,Research & Development,2,Research Scientist,6700,No,16,4,3,1,20,3,No,4
E299,25,Sales,9,Sales Representative,3300,Yes,3,1,1,1,3,1,Yes,2
E300,46,Human Resources,13,Manager,8800,No,21,4,4,4,25,4,No,4
E301,34,Sales,5,Sales Executive,5200,No,7,3,3,1,10,2,No,3
E302,41,Research & Development,12,Research Scientist,6300,No,15,4,3,2,20,3,No,4
E303,28,Sales,8,Sales Representative,3500,Yes,4,1,2,1,5,2,Yes,3
E304,47,Human Resources,6,Manager,8900,No,19,4,4,3,26,4,No,4
E305,33,Research & Development,10,Laboratory Technician,5000,Yes,8,2,2,4,12,2,No,3
E306,30,Sales,2,Sales Executive,4800,No,6,3,3,1,8,3,No,3
E307,39,Research & Development,18,Research Scientist,6200,Yes,11,2,2,2,16,2,Yes,3
E308,51,Sales,14,Sales Executive,8000,No,24,4,3,4,30,4,No,4
E309,25,Research & Development,6,Laboratory Technician,3300,Yes,3,1,1,1,4,2,Yes,2
E310,37,Human Resources,9,Human Resources,5200,No,11,4,3,2,15,3,No,3
E311,42,Sales,15,Sales Executive,6500,No,16,3,3,1,21,3,No,4
E312,28,Research & Development,4,Laboratory Technician,3900,Yes,5,2,2,2,7,2,No,3
E313,55,Sales,1,Manager,12000,No,33,4,4,3,36,5,No,4
E314,34,Sales,7,Sales Representative,4700,No,10,3,3,1,12,2,No,3
E315,31,Research & Development,11,Research Scientist,5400,Yes,8,2,2,1,10,2,Yes,3
E316,48,Human Resources,20,Manager,9400,No,22,4,3,5,30,4,No,4
E317,26,Sales,5,Sales Representative,3400,Yes,3,1,1,1,4,1,Yes,2
E318,44,Research & Development,8,Research Scientist,7300,No,17,4,4,2,23,3,No,4
E319,35,Sales,12,Sales Executive,5600,Yes,10,2,2,1,13,2,Yes,3
E320,53,Research & Development,2,Manager,10300,No,27,4,4,4,33,5,No,4
E321,29,Human Resources,6,Human Resources,4000,No,5,3,3,2,7,2,No,3
E322,40,Sales,14,Sales Executive,6300,Yes,13,2,2,1,19,3,Yes,3
E323,32,Research & Development,7,Laboratory Technician,4700,No,8,3,3,3,11,2,No,3
E324,56,Sales,10,Manager,11800,No,34,4,4,2,38,5,No,4
E325,24,Research & Development,14,Research Scientist,3200,Yes,2,1,1,1,2,1,Yes,2
E326,43,Sales,9,Sales Representative,5900,No,16,4,3,1,21,3,No,4
E327,38,Human Resources,4,Human Resources,5400,Yes,11,2,2,2,15,3,Yes,3
E328,50,Research & Development,11,Research Scientist,8400,No,23,4,4,3,28,3,No,4
E329,27,Sales,2,Sales Executive,3900,No,5,3,3,1,6,2,No,3
E330,45,Sales,16,Sales Executive,7200,No,19,4,3,2,24,4,No,4
E331,34,Research & Development,5,Laboratory Technician,5000,Yes,9,2,2,3,13,2,No,3
E332,52,Human Resources,7,Manager,9600,No,25,4,3,5,31,4,No,4
E333,31,Sales,12,Sales Representative,4300,Yes,6,2,1,1,8,2,Yes,3
E334,47,Research & Development,3,Research Scientist,7900,No,21,4,4,1,26,3,No,4
